#Index	Altura		Aerror		Amplitude 	AError		Sdev		sdError	
1	3.33062	0.003147   	0.00032956  	6.881e-06	0.000295149	5.669e-06
1	3.00653	0.005611   	0.000418407  	1.107e-05	0.000241041	6.127e-06	
2	3.26408	0.003191   	6.71129e-06	1.575e-07	5.663e-06	1.303e-07
2	2.95434	0.005225   	8.38151e-06	2.345e-07	4.70012e-06	1.321e-07
3	3.22454	0.002921	8.76483e-08	2.238e-09	7.33398e-08	1.916e-09
3	2.89549	0.004772	1.10315e-07	3.29e-09	5.96276e-08	1.846e-09
4	3.24386 	0.003253	6.23846e-10	1.327e-11	5.59831e-10	1.086e-11
4	2.88918	0.005963	8.18177e-10	2.192e-11	4.55927e-10	1.166e-11
5	3.20718	0.002846	4.18789e-12	9.925e-14	3.77764e-12	8.923e-14
5	2.8		0.009324	4.11005e-12	2.255e-13	1.8458e-12	1.064e-13
6	3.18		0.00419    	1.94937e-14	5.822e-16	1.86624e-14	5.147e-16
6	2.7		0.01353	1.92592e-14	1.251e-15	8.09067e-15	5.415e-16


#\begin{tabular}{|l|l|l|l|l|l|l|}
#\hline
#Curve	& $h$	& $\Delta h$     &  $a$      & $\Delta a$	& $\sigma$		& $\Delta \sigma$ \\ \hline
#\hline
#U(64-65)	& 3.33062	& 0.003147   & 0.00032956       & 6.881e-06	& 0.000295149	& 5.669e-06 \\ \hline
#L(64-65)	& 3.00653	& 0.005611   & 0.000418407      & 1.107e-05	& 0.000241041	& 6.127e-06 \\ \hline
#U(66-67)	& 3.26408	& 0.003191   & 6.71129e-06	& 1.575e-07	& 5.663e-06	& 1.303e-07 \\ \hline
#L(66-67)& 2.95434	& 0.005225   & 8.38151e-06	& 2.345e-07	& 4.70012e-06	& 1.321e-07 \\ \hline
#U(68-69) & 3.22454	& 0.002921   & 8.76483e-08	& 2.238e-09	& 7.33398e-08	& 1.916e-09 \\ \hline
#L(68-69)     & 2.89549	& 0.004772   & 1.10315e-07	& 3.29e-09	& 5.96276e-08	& 1.846e-09 \\ \hline
#U(70-71)	& 3.24386       & 0.003253   & 6.23846e-10	& 1.327e-11	& 5.59831e-10	& 1.086e-11 \\ \hline
#L(70-71)	& 2.88918	& 0.005963   & 8.18177e-10	& 2.192e-11	& 4.55927e-10	& 1.166e-11 \\ \hline
#U(72-73)	& 3.20718	& 0.002846   & 4.18789e-12	& 9.925e-14	& 3.77764e-12	& 8.923e-14 \\ \hline
#L(72-73)	& 2.8	        & 0.009324   & 4.11005e-12	& 2.255e-13	& 1.8458e-12	& 1.064e-13 \\ \hline
#U(74-75)	& 3.18	        & 0.00419    & 1.94937e-14	& 5.822e-16	& 1.86624e-14	& 5.147e-16 \\ \hline
#L(74-75)	& 2.7	        & 0.01353    & 1.92592e-14	& 1.251e-15	& 8.09067e-15	& 5.415e-16 \\ \hline
#\end{tabular}
