#DeltaE			sigma_mean		error_sigma
6.045454429393082e-05	0.00018355999999999998	5.22e-06
1.021275273016542e-06	2.921925e-06		9.039500000000001e-08
9.451064153509492e-09	2.868195e-08		8.941e-10
4.824385335666648e-11	1.314675e-10		5.8615e-12
1.2212453270876722e-13	3.53417e-13		3.81285e-14


0.00010030678598993426	0.000343264		7.5585000000000006e-06
2.113452869823007e-06	6.689325e-06		1.5129999999999999e-07
2.7125411250494835e-08	8.57693e-08		2.2615e-09
2.241469232444615e-10	7.3104e-10		2.308e-11
1.205036070928145e-12	3.030885e-12		1.202e-13
3.9968028886505635e-15	1.3628020000000001e-14	4.8485e-16


0.00023210943059104316	0.000833333		1.2689999999999999e-05
5.728554369088812e-06	1.774085e-05		2.7009999999999996e-07
8.871973378177245e-08	2.64672e-07		3.1835e-09
9.257190569655904e-10	2.92303e-09		4.114e-11
6.70108413203252e-12	1.755325e-11		7.094500000000001e-13
3.397282455352979e-14	4.95308e-14		4.691e-15


0.0004202044823027329	0.00200631		0.00038513999999999996
1.1332894974014351e-05	4.9113099999999996e-05	1.473795e-05
1.9017495134221463e-07	7.778645e-07		1.36049e-07
2.1547750250761055e-09	6.3935649999999995e-09	2.11995e-10
1.7064127888488656e-11	3.1996e-11		2.4974000000000002e-12	
9.481304630298837e-14	1.5054349999999998e-13	1.0577e-14


6.322800999392086e-05	0.000614333		1.4605e-05
1.2523871180114554e-06	1.1282149999999998e-05	2.7805e-07
1.674388627748158e-08	1.467265e-07		4.0170000000000005e-09
1.581490494118043e-10	1.314855e-09		5.0275e-11
1.078692690725802e-12	8.07813e-12		2.662e-13
6.217248937900877e-15	4.03685e-14		1.151e-15


5.025416331072563e-05	0.001434075		2.5075e-05
8.606243788733536e-07	2.40331e-05		4.8825e-07
1.02266692891817e-08	2.90883e-07		7.26e-09
8.733991307963151e-11	2.728435e-09		9.5105e-11
5.488942633746774e-13	1.46376e-11		4.308e-13
1.0658141036401503e-14	5.54961e-14		1.824e-15


5.409770307096551e-05	0.000268095		5.898e-06
1.0889340389397262e-06	5.18156e-06		1.312e-07
1.4359958999676792e-08	6.64837e-08		1.881e-09
1.302400409741722e-10	5.07879e-10		1.126e-11
9.610090501155355e-13	2.81172e-12		9.7815e-14
3.9968028886505635e-15	1.3376535e-14		5.281e-16
